BTCUSD Historical Data
Date,Open,High,Low,Close,Change(Pips),Change(%)
04/12/2025 00:00,83414,83500.7,83233,83233,-181,-0.22,
04/11/2025 23:45,83442.9,83527,83354,83384,-58.9,-0.07,
04/11/2025 23:30,83190.7,83457.6,83148,83420,229.3,0.27,
04/11/2025 23:15,83252,83323.9,83112,83190.7,-61.3,-0.07,
04/11/2025 23:00,83412.4,83412.4,83223,83241.9,-170.5,-0.20,
04/11/2025 22:45,83385.7,83521.7,83310.9,83392,6.3,0.01,
04/11/2025 22:30,83415.8,83470.7,83283,83310.9,-104.9,-0.13,
04/11/2025 22:15,83527.5,83572.6,83399,83456.8,-70.7,-0.08,
04/11/2025 22:00,83664,83709.4,83504,83547.6,-116.4,-0.14,
04/11/2025 21:45,83645,83794.3,83618,83652,7,0.01,
04/11/2025 21:30,83875,83900.1,83617,83677.5,-197.5,-0.24,
04/11/2025 21:15,83925.5,84260.7,83875,83891,-34.5,-0.04,
04/11/2025 21:00,83846.1,84001,83783,83909,62.9,0.07,
04/11/2025 20:45,83961.4,83986.7,83783,83807,-154.4,-0.18,
04/11/2025 20:30,83933.2,83988,83799,83942,8.8,0.01,
04/11/2025 20:15,83760.1,83954,83677,83917,156.9,0.19,
04/11/2025 20:00,83813,83900.3,83655,83760,-53,-0.06,
04/11/2025 19:45,83805.1,83934.3,83730,83807,1.9,0.00,
04/11/2025 19:30,83727,83849.9,83615,83805.1,78.1,0.09,
04/11/2025 19:15,83838,83938,83710,83727,-111,-0.13,
04/11/2025 19:00,83574.9,83900,83537,83863,288.1,0.34,
04/11/2025 18:45,83886.9,83919.1,83489.2,83575.3,-311.6,-0.37,
04/11/2025 18:30,83996.7,84011.1,83768,83839.2,-157.5,-0.19,
04/11/2025 18:15,84000.8,84032,83608,84032,31.2,0.04,
04/11/2025 18:00,83904.8,84165,83785,83959.1,54.3,0.06,
04/11/2025 17:45,83882,83999.9,83631,83842,-40,-0.05,
04/11/2025 17:30,82950,83990.9,82937,83911,961,1.15,
04/11/2025 17:15,82938.5,83052,82729,82983.2,44.7,0.05,
04/11/2025 17:00,82755,82969.7,82648,82914.2,159.2,0.19,
04/11/2025 16:45,82921,83018.4,82708,82780.2,-140.8,-0.17,
