BTCUSD Historical Data
Date,Open,High,Low,Close,Change(Pips),Change(%)
04/12/2025 00:00,83414,83531,84694,82942.8,-471.2,-0.57,
04/11/2025 20:00,83813,84260.7,83112,83384,-429,-0.51,
04/11/2025 16:00,82457.4,84165,81989,83807,1349.6,1.61,
04/11/2025 12:00,82057,83250.8,81294,82514.7,457.7,0.55,
04/11/2025 08:00,81260.4,82926.8,80751,82110.5,850.1,1.04,
04/11/2025 04:00,80751,81421.8,80438,81225,474,0.58,
04/11/2025 00:00,79552,80869.6,78888,80790,1238,1.53,
04/10/2025 20:00,79570,80035.2,79324,79552,-18,-0.02,
04/10/2025 16:00,78703.2,80023.7,78410,79552,848.8,1.07,
04/10/2025 12:00,81876.8,82408.8,78551,78703.2,-3173.6,-4.03,
04/10/2025 08:00,81575.2,82101.3,81312,81875,299.8,0.37,
04/10/2025 04:00,81721.4,82345.4,81277,81575.2,-146.2,-0.18,
04/10/2025 00:00,82556.2,82721,81448,81731,-825.2,-1.01,
04/09/2025 20:00,82270,83575,81984.5,82565,295,0.36,
04/09/2025 16:00,77198.6,82976.9,77063,82300.3,5101.7,6.20,
04/09/2025 12:00,76169,78268,75984.9,77248,1079,1.40,
04/09/2025 08:00,77724,77895,75706,76165,-1559,-2.05,
04/09/2025 04:00,75075.9,77960,74990,77688.8,2612.9,3.36,
04/09/2025 00:00,76276.4,76875,74582,75071,-1205.4,-1.61,
04/08/2025 20:00,76827,77278,76194,76327.1,-499.9,-0.65,
04/08/2025 16:00,78449.9,78523.4,76286,76737,-1712.9,-2.23,
04/08/2025 12:00,79998,80366,78148,78467,-1531,-1.95,
04/08/2025 08:00,79459,80061,78801,79967.5,508.5,0.64,
04/08/2025 04:00,79892.1,80459,79197.6,79487.8,-404.3,-0.51,
04/08/2025 00:00,79130,80899,78776,79902.9,772.9,0.97,
04/07/2025 20:00,78101,80192,78071,79130,1029,1.30,
04/07/2025 16:00,78480,79318,77298,78073,-407,-0.52,
04/07/2025 12:00,76668,81176.9,75777,78430,1762,2.25,
04/07/2025 08:00,75056,77545.8,75002,76617,1561,2.04,
04/07/2025 04:00,77660.9,77965,74424,75056,-2604.9,-3.47,
04/07/2025 00:00,78364.7,79336,77320,77700,-664.7,-0.86,
04/06/2025 20:00,79611.1,79868,77071,78345.1,-1266.0,-1.62,
04/06/2025 16:00,82550.6,82555.8,78634,79635,-2915.6,-3.66,
04/06/2025 12:00,82795.1,82938,82199,82531,-264.1,-0.32,
04/06/2025 08:00,82992.1,83174.5,82625,82795.1,-197.0,-0.24,
04/06/2025 04:00,83309.3,83581,82992.1,83009.3,-300.0,-0.36,
04/06/2025 00:00,83514.3,83808,83159,83309.3,-205.0,-0.25,
04/05/2025 20:00,82825.7,83701,82798,83508.8,683.1,0.82,
04/05/2025 16:00,82598.9,83180,82574,82825.7,226.8,0.27,
04/05/2025 12:00,83440,83563,82346,82587.5,-852.5,-1.03,
04/05/2025 08:00,83472.4,83875,83352,83440,-32.4,-0.04,
04/05/2025 04:00,83628,83852.4,83322,83523.3,-104.7,-0.13,
04/05/2025 00:00,83860,84225,83404,83623,-237,-0.28,
04/04/2025 20:00,83956,84419.8,83432,83851,-105,-0.13,
04/04/2025 16:00,82816,84610.7,82705,83999.9,1183.9,1.41,
04/04/2025 12:00,82632,83674.1,81811,82825,193,0.23,
04/04/2025 08:00,83976.8,84702,81631,82655.9,-1320.9,-1.60,
04/04/2025 04:00,82788.1,84003.9,82595,83976.8,1188.7,1.42,
04/04/2025 00:00,83132.9,83430,82579.3,82806.3,-326.6,-0.39,
04/03/2025 20:00,81995,83338,81758,83161,1166,1.40,
04/03/2025 16:00,82026,82432,81500,81918,-108,-0.13,
04/03/2025 12:00,83062,83154,81200,82036,-1026,-1.25,
04/03/2025 08:00,83473,83754,83027,83039.5,-433.5,-0.52,
04/03/2025 04:00,83482.4,83736,82992.1,83473,-9.4,-0.01,
04/03/2025 00:00,82508,83910.9,82157,83463,955,1.14,
04/02/2025 20:00,86916,88461,82317,82491,-4425,-5.36,
04/02/2025 16:00,86714,87299.7,86185,86915,201,0.23,
04/02/2025 12:00,84565.3,87343.8,84382,86719.8,2154.5,2.48,
04/02/2025 08:00,84440,85440.2,84234,84538.5,98.5,0.12,
04/02/2025 04:00,84550.1,84727,81188,84417.6,-132.5,-0.16,
04/02/2025 00:00,85191.9,85262,84500,84550.1,-641.8,-0.76,
04/01/2025 20:00,84964,85519,84771,85201.1,237.1,0.28,
04/01/2025 16:00,85288.1,85489,84716,84959.9,-328.2,-0.39,
04/01/2025 12:00,83907,85498,82526.6,85282,1375,1.61,
04/01/2025 08:00,83557,84490,83443.6,83907,350,0.42,
04/01/2025 04:00,82942.9,83670,82879,83454,511.1,0.61,
04/01/2025 00:00,82522.9,83372,82416.3,82952.5,429.6,0.52,
03/31/2025 20:00,82558,82957,82250,82522.9,-35.1,-0.04,
03/31/2025 16:00,83530,83782,82370.3,82421,-1109,-1.35,
03/31/2025 12:00,82299,83997,81645,83416.4,1117.4,1.34,
03/31/2025 08:00,81924,82388,81300,82169.5,245.5,0.30,
03/31/2025 04:00,81507,82460,81405,81930.7,423.7,0.52,
03/31/2025 00:00,82358,82607,81283.2,81507,-851,-1.04,
03/30/2025 20:00,82528.5,82943,81551,82377.3,-151.2,-0.18,
03/30/2025 16:00,82738.9,83078,82050,82792,53.1,0.06,
03/30/2025 12:00,83076.5,83437,82565.2,82724.2,-352.3,-0.43,
03/30/2025 08:00,83060.4,83697,82945.8,83076.5,16.1,0.02,
03/30/2025 04:00,83077,83513,82853,83060.4,-16.6,-0.02,
03/30/2025 00:00,82613.7,83683,82479,83078,464.3,0.56,
03/29/2025 20:00,82725,82960,82229.8,82853,128,0.15,
03/29/2025 16:00,82608,82883,81629,82721,113,0.14,
03/29/2025 12:00,82251,83060,82111,82378.9,127.9,0.16,
03/29/2025 08:00,83664.9,84100,81981.8,82247.2,-1417.7,-1.72,
03/29/2025 04:00,84149.8,84428,83632,83664.9,-484.9,-0.58,
03/29/2025 00:00,84373.8,84778,83679.9,84137,-236.8,-0.28,
03/28/2025 20:00,83742.4,84688,83656,84373.8,631.4,0.75,
03/28/2025 16:00,84027.9,84359,83531.9,83742.4,-285.5,-0.34,
03/28/2025 12:00,85222,85649,83919,83997,-1225,-1.46,
03/28/2025 08:00,85397,85585,84784,85222,-175,-0.21,
03/28/2025 04:00,86781,86921,85142,85182.5,-1598.5,-1.88,
03/28/2025 00:00,87209.8,87593,86740,86783.2,-426.6,-0.49,
03/27/2025 20:00,87047,87814,86925,87209.8,162.8,0.19,
03/27/2025 16:00,86955.1,87524,86780.4,87039,83.9,0.10,
03/27/2025 12:00,86957,87659,85827,86969.2,12.2,0.01,
03/27/2025 08:00,87411.2,87739,0,86946.2,-465.0,-0.53,
03/27/2025 04:00,87688,87850,87271.5,87407.3,-280.7,-0.32,
03/27/2025 00:00,86898.9,87923,86807,87686,787.1,0.90,
03/26/2025 20:00,86738,87558,86507.1,87080,342,0.39,
03/26/2025 16:00,86909,87208,85853.2,86587,-322,-0.37,
03/26/2025 12:00,87977.3,88136,86462.5,86749.9,-1227.4,-1.41,
03/26/2025 08:00,88156,88398,87861,88100,-56,-0.06,
03/26/2025 04:00,87150.9,88400,87100,88162,1011.1,1.15,
03/26/2025 00:00,87417.7,88059,87073,87169,-248.7,-0.29,
03/25/2025 20:00,88118.3,88650,87175.6,87426,-692.3,-0.79,
03/25/2025 16:00,87902,88430,87604.2,88138,236,0.27,
03/25/2025 12:00,87494,88355,86958,87788.9,294.9,0.34,
03/25/2025 08:00,86440,87581,86414,87494,1054,1.20,
03/25/2025 04:00,86531,86982,86332.4,86443.2,-87.8,-0.10,
03/25/2025 00:00,87511.8,87766,86365,86528.3,-983.5,-1.14,
03/24/2025 20:00,88273,88578,87102.8,87511,-762,-0.87,
03/24/2025 16:00,88445,88629,87705,88369,-76,-0.09,
03/24/2025 12:00,87691.9,88867,87144.6,88343.3,651.4,0.74,
03/24/2025 08:00,86880.04,88028,86847.5,87691.9,811.86,0.93,
03/24/2025 04:00,86524,87438,86524,86880.5,356.5,0.41,
03/24/2025 00:00,86076.4,86810,85540,86529,452.6,0.52,
03/23/2025 20:00,84999.9,86288,84928,86080.1,1080.2,1.25,
03/23/2025 16:00,85177.5,85517,84813.7,85199,21.5,0.03,
03/23/2025 12:00,84651,85352,84581,85185.7,534.7,0.63,
03/23/2025 08:00,84274.9,85112,84241,84659.1,384.2,0.45,
03/23/2025 04:00,84211.9,84452,84061.3,84274.9,63.0,0.07,
03/23/2025 00:00,83799.9,84349,83791,84214.7,414.8,0.49,
03/22/2025 20:00,84294,84322,83672,83834.9,-459.1,-0.55,
03/22/2025 16:00,84099.9,84421,84039.8,84177.5,77.6,0.09,
03/22/2025 12:00,84206,84360,83964,84107.2,-98.8,-0.12,
03/22/2025 08:00,84210.2,84604,84115,84231.2,21.0,0.02,
03/22/2025 04:00,84220.3,84502,84141.8,84272.7,52.4,0.06,
03/22/2025 00:00,84034.2,84398,83964,84220.3,186.1,0.22,
03/21/2025 20:00,83952.5,84644,83782,84034.2,81.7,0.10,
03/21/2025 16:00,83555.8,84499,83333,83952.5,396.7,0.47,
03/21/2025 12:00,84023.6,84438,83155,83547.5,-476.1,-0.57,
03/21/2025 08:00,83869.6,84399,83713,84023.6,154.0,0.18,
03/21/2025 04:00,84418.1,84887,83710,83869.6,-548.5,-0.65,
03/21/2025 00:00,84178.5,84932,84150,84434.8,256.3,0.30,
03/20/2025 20:00,84251,84672,83874,84295,44,0.05,
03/20/2025 16:00,84691.6,85009,83615.2,84142,-549.6,-0.65,
03/20/2025 12:00,85485.3,86664,84575,84676.7,-808.6,-0.95,
03/20/2025 08:00,85814,86448,84794,85485.3,-328.7,-0.38,
03/20/2025 04:00,85905,86156,85445,85836.9,-68.1,-0.08,
03/20/2025 00:00,86879.5,87597,85648,85906,-973.5,-1.13,
03/19/2025 20:00,85618,87181,85222.9,86870.1,1252.1,1.44,
03/19/2025 16:00,84739.6,86107,83586,85466,726.4,0.85,
03/19/2025 12:00,83883.3,85066,83526.5,84736,852.7,1.01,
03/19/2025 08:00,83393,84266,83180.6,83876,483,0.58,
03/19/2025 04:00,83047.4,83570,82786,83180,132.6,0.16,
03/19/2025 00:00,82705.3,83428,82560.4,83040,334.7,0.40,
03/18/2025 20:00,82555,82999,81866,82933,378,0.46,
03/18/2025 16:00,81593.1,82703,81256.1,82316.2,723.1,0.88,
03/18/2025 12:00,82595,83010,81138,81591,-1004,-1.23,
03/18/2025 08:00,83174.1,83633,82506,82595,-579.1,-0.70,
03/18/2025 04:00,83138.6,83410,82250.2,83147,8.4,0.01,
03/18/2025 00:00,84015.1,84221,82953,83128,-887.1,-1.07,
03/17/2025 20:00,84475,84676,83754,84015.1,-459.9,-0.55,
03/17/2025 16:00,83522.8,84908,83122.3,84469.9,947.1,1.12,
03/17/2025 12:00,83508.9,84105,82456,83523,14.1,0.02,
03/17/2025 08:00,83563.9,83934,83190,83508.9,-55.0,-0.07,
03/17/2025 04:00,83702.3,84035,82684,83566,-136.3,-0.16,
03/17/2025 00:00,82599.9,83877,82508,83659,1059.1,1.27,
03/16/2025 20:00,83100.2,83614,81997,82599.9,-500.3,-0.61,
03/16/2025 16:00,83316.5,85250,82568,83079,-237.5,-0.29,
03/16/2025 12:00,82405,83676,82387,83311,906,1.09,
03/16/2025 08:00,84265,84478,82396,82413.6,-1851.4,-2.25,
03/16/2025 04:00,84314.7,84596,83964,84441,126.3,0.15,
03/16/2025 00:00,84332.9,84565,0,84322,-10.9,-0.01,
03/15/2025 20:00,84293,84669,84240,84344.2,51.2,0.06,
03/15/2025 16:00,84343.1,84722,84115,84293,-50.1,-0.06,
03/15/2025 12:00,84108.7,84682,84012,84343.1,234.4,0.28,
03/15/2025 08:00,84078,84375,83632,84105,27,0.03,
03/15/2025 04:00,84500.7,84764,83811.9,84078,-422.7,-0.50,
03/15/2025 00:00,83982,84911,83967,84485,503,0.60,
03/14/2025 20:00,84564,84770,83722,83983,-581,-0.69,
03/14/2025 16:00,84944,85153,83948,84775,-169,-0.20,
03/14/2025 12:00,83465,85486,82639,84944,1479,1.74,
03/14/2025 08:00,82397,83554,82180,83466,1069,1.28,
03/14/2025 04:00,81879.5,82650,81762.8,82397,517.5,0.63,
03/14/2025 00:00,81128.2,82449,80792,82080,951.8,1.16,
03/13/2025 20:00,80178.3,81672,80137,81112.2,933.9,1.15,
03/13/2025 16:00,81007.8,81389,79907,80364,-643.8,-0.80,
03/13/2025 12:00,82942.9,83989,80947,81192,-1750.9,-2.16,
03/13/2025 08:00,83148.1,83668,82435.4,82919.9,-228.2,-0.28,
03/13/2025 04:00,83551.1,83875,82849.7,83140,-411.1,-0.49,
03/13/2025 00:00,83673.3,84494,83302,83550,-123.3,-0.15,
03/12/2025 20:00,82914.6,84055,82686,83667,752.4,0.90,
03/12/2025 16:00,81705,83357,81598,82922.2,1217.2,1.47,
03/12/2025 12:00,82986.2,84600,80607,81721.6,-1264.6,-1.55,
03/12/2025 08:00,82434.7,83297,82014.4,82986.2,551.5,0.66,
03/12/2025 04:00,82109.2,82725,81268,82416.6,307.4,0.37,
03/12/2025 00:00,82899.9,83983,82082,82108.3,-791.6,-0.96,
03/11/2025 20:00,83294,83492,82546,82899.9,-394.1,-0.48,
03/11/2025 16:00,81189.8,83818,80610,83306,2116.2,2.54,
03/11/2025 12:00,81709.2,82373,79033,81208.6,-500.6,-0.62,
03/11/2025 08:00,80428.3,82250,80306,81709.2,1280.9,1.57,
03/11/2025 04:00,79777,80867,79410,80406,629,0.78,
03/11/2025 00:00,78558.8,80172,76601,79458.9,900.1,1.13,
03/10/2025 20:00,79260,80149,78344,78570.7,-689.3,-0.88,
03/10/2025 16:00,80000,80476,77400,79242,-758,-0.96,
03/10/2025 12:00,83567,83994,79160,80261,-3306,-4.12,
03/10/2025 08:00,82311.5,84238,81176.4,83790,1478.5,1.76,
03/10/2025 04:00,82037.6,83001,81988,82311.5,273.9,0.33,
03/10/2025 00:00,80706,82946,80060.3,82031,1325,1.62,
03/09/2025 20:00,82600,83826,0,80706.2,-1893.8,-2.35,
03/09/2025 16:00,83068.7,83998,82205,82903,-165.7,-0.20,
03/09/2025 12:00,85008.3,85340,82762,83052,-1956.3,-2.36,
03/09/2025 08:00,86370,86422,84659,84999.9,-1370.1,-1.61,
03/09/2025 04:00,86114.9,86502,85800,85979,-135.9,-0.16,
03/09/2025 00:00,86164,86818,85952,86114.1,-49.9,-0.06,
03/08/2025 20:00,86201.7,86795,85849,86204,2.3,0.00,
03/08/2025 16:00,86391.9,86770,85653,86216.4,-175.5,-0.20,
03/08/2025 12:00,85955.2,86885,85809,86391.9,436.7,0.51,
03/08/2025 08:00,86198,86700,85756,85937.6,-260.4,-0.30,
03/08/2025 04:00,85922.2,86888,85637,86428,505.8,0.59,
03/08/2025 00:00,86762.2,87129,85206,85922.2,-840.0,-0.98,
03/07/2025 20:00,88009,88633,85602,86756,-1253,-1.44,
03/07/2025 16:00,88445,89208,86563,87786,-659,-0.75,
03/07/2025 12:00,88971,91287,88023,88421.4,-549.6,-0.62,
03/07/2025 08:00,88289.8,89865,87992,88930.9,641.1,0.72,
03/07/2025 04:00,86979.3,88800,86847,88576,1596.7,1.80,
03/07/2025 00:00,89925.2,91378,84768.4,86979.3,-2945.9,-3.39,
03/06/2025 20:00,88520.8,90960,88474,89947.2,1426.4,1.59,
03/06/2025 16:00,90810,91241,87834,88525,-2285,-2.58,
03/06/2025 12:00,91346.2,91629,89134,90811,-535.2,-0.59,
03/06/2025 08:00,91300,91852,90608.9,91346.2,46.2,0.05,
03/06/2025 04:00,91569.9,92997,91241.2,91332.31,-237.59,-0.26,
03/06/2025 00:00,90611.8,92209,89992.5,91822,1210.2,1.32,
03/05/2025 20:00,89990,91195,89666,90606.3,616.3,0.68,
03/05/2025 16:00,88326.6,90681,87582,89737,1410.4,1.57,
03/05/2025 12:00,89799,91129,87907,88552,-1247,-1.41,
03/05/2025 08:00,87599.9,90857,87587,90051,2451.1,2.72,
03/05/2025 04:00,86836.7,87966,86706.4,87599.9,763.2,0.87,
03/05/2025 00:00,87254.8,88142,86378.4,86812.4,-442.4,-0.51,
03/04/2025 20:00,88195,89167,86563.1,87256.1,-938.9,-1.08,
03/04/2025 16:00,82917,88691,82019.6,88229.3,5312.3,6.02,
03/04/2025 12:00,83908,85130,81500,82899.8,-1008.2,-1.22,
03/04/2025 08:00,83134.7,84607,83007,83918.1,783.4,0.93,
03/04/2025 04:00,84219,84807,83112,83141,-1078,-1.30,
03/04/2025 00:00,86144.6,87059,82420.8,83911.7,-2232.9,-2.66,
03/03/2025 20:00,85579.6,87299,85055,86161,581.4,0.67,
03/03/2025 16:00,90263,91212,85497.9,85545,-4718,-5.52,
03/03/2025 12:00,90944.7,91519,89904,89948.6,-996.1,-1.11,
03/02/2025 04:00,85859.8,86161,85808,85859.8,0.0,0.00,
03/02/2025 00:00,86369,86777,85630,85840,-529,-0.62,
03/01/2025 20:00,85383.9,86507,85257.7,86368,984.1,1.14,
03/01/2025 16:00,84763,85849,84663,85383.9,620.9,0.73,
03/01/2025 12:00,84595.2,85219,84317,85077,481.8,0.57,
03/01/2025 08:00,84750,85780,84341.2,84595.2,-154.8,-0.18,
03/01/2025 04:00,85266.9,86817,84712,84750,-516.9,-0.61,
03/01/2025 00:00,84612,85887,83799.2,85571,959,1.12,
