BTCUSD Historical Data
Date,Open,High,Low,Close,Change(Pips),Change(%)
04/12/2025 00:00,83414,85376.9,82755.6,84988.1,1574.1,1.85,
04/11/2025 00:00,79552.34,84407.3,78888,83418.45,3866.11,4.63,
04/10/2025 00:00,82593.15,82730.93,78387.24,79623,-2970.15,-3.73,
04/09/2025 00:00,76276.5,83583.35,74553.01,82587.69,6311.19,7.64,
04/08/2025 00:00,79130.1,80901,76159,76253.83,-2876.27,-3.77,
04/07/2025 00:00,78364.8,81323.6,74409.1,79221,856.2,1.08,
04/06/2025 00:00,83508.9,83807,77057.7,78232.5,-5276.4,-6.74,
04/05/2025 00:00,83859.78,84238.35,82346.61,83505.83,-353.95,-0.42,
04/04/2025 00:00,83174.33,84720.67,81634,83844.1,669.77,0.80,
04/03/2025 00:00,82517,83953.45,81177.7,83191,674,0.81,
04/02/2025 00:00,85166.92,89042.7,81188,82505.97,-2660.95,-3.23,
04/01/2025 00:00,82523,85566.53,82403.32,85172.34,2649.34,3.11,
03/31/2025 00:00,82402.4,83998,81265.16,82558,155.6,0.19,
03/30/2025 00:00,82599.85,83697,81538.88,82348.18,-251.67,-0.31,
03/29/2025 00:00,84328.2,84779,81608.99,82590.22,-1737.98,-2.10,
03/28/2025 00:00,87209.9,87578,83530.1,84347.69,-2862.21,-3.39,
03/27/2025 00:00,86899,87934,85784,87208.81,309.81,0.36,
03/26/2025 00:00,87432.82,88460,85849.6,86888.2,-544.62,-0.63,
03/25/2025 00:00,87389.71,88651,86306.7,87465.78,76.07,0.09,
03/24/2025 00:00,86739.12,88868,86601,87516.74,777.62,0.89,
03/23/2025 00:00,83800,86288,83799.9,86092.94,2292.94,2.66,
03/22/2025 00:00,84034.3,84594,83659.69,83844.4,-189.9,-0.23,
03/21/2025 00:00,84183.41,84945,83100,84053.55,-129.86,-0.15,
03/20/2025 00:00,86879.6,87622,83596.75,84132.81,-2746.79,-3.26,
03/19/2025 00:00,82705.4,87189,82535.53,86884.09,4178.69,4.81,
03/18/2025 00:00,84015.2,84221,81125,82718.4,-1296.8,-1.57,
03/17/2025 00:00,84145,84433,83745.72,84059.99,-85.01,-0.10,
03/16/2025 00:00,84351.45,85280,81969.44,82559.04,-1792.41,-2.17,
03/15/2025 00:00,83997.7,84911,83612.24,84355.08,357.38,0.42,
03/14/2025 00:00,81112.3,85487,80771.17,83959.47,2847.17,3.39,
03/13/2025 00:00,83659.45,84494,79890,81037.27,-2622.18,-3.24,
03/12/2025 00:00,82900,84630,80572.21,83665.2,765.2,0.91,
03/11/2025 00:00,78558.8,83820,76555,83096,4537.2,5.46,
