GBPUSD Historical Data
Date,Open,High,Low,Close,Change(Pips),Change(%)
06/06/2025 00:00,1.35788,1.35844,1.3507,1.35319,-46.9,-0.35,
06/05/2025 00:00,1.35511,1.36166,1.35404,1.35789,27.8,0.20,
06/04/2025 00:00,1.35304,1.35803,1.3501,1.3551,20.6,0.15,
06/03/2025 00:00,1.35571,1.35577,1.3492,1.35308,-26.3,-0.19,
06/02/2025 00:00,1.34684,1.35598,1.34677,1.35568,88.4,0.65,
06/01/2025 00:00,1.34621,1.34737,1.3451,1.34685,6.4,0.05,
05/30/2025 00:00,1.3499,1.35113,1.3448,1.34709,-28.1,-0.21,
05/29/2025 00:00,1.34279,1.35073,1.34189,1.34985,70.6,0.52,
05/28/2025 00:00,1.35139,1.35224,1.34154,1.34285,-85.4,-0.64,
05/27/2025 00:00,1.35654,1.35871,1.35003,1.35138,-51.6,-0.38,
05/26/2025 00:00,1.35379,1.35934,1.35355,1.35654,27.5,0.20,
05/25/2025 00:00,1.35184,1.35423,1.35184,1.3538,19.6,0.14,
05/23/2025 00:00,1.34193,1.35394,1.34184,1.35348,115.5,0.85,
05/22/2025 00:00,1.34209,1.34412,1.33904,1.34196,-1.3,-0.01,
05/21/2025 00:00,1.3397,1.34688,1.33886,1.34203,23.3,0.17,
05/20/2025 00:00,1.33588,1.33981,1.33343,1.33971,38.3,0.29,
05/19/2025 00:00,1.33049,1.34039,1.32902,1.33587,53.8,0.40,
05/18/2025 00:00,1.32636,1.3305,1.32636,1.3305,41.4,0.31,
05/16/2025 00:00,1.33033,1.33324,1.32502,1.32809,-22.4,-0.17,
05/15/2025 00:00,1.32634,1.33199,1.32586,1.33035,40.1,0.30,
05/14/2025 00:00,1.33035,1.33602,1.32496,1.32635,-40.0,-0.30,
05/13/2025 00:00,1.31778,1.33158,1.31732,1.33039,126.1,0.95,
05/12/2025 00:00,1.32847,1.32994,1.31398,1.31776,-107.1,-0.81,
05/11/2025 00:00,1.32577,1.32953,1.32556,1.3285,27.3,0.21,
05/09/2025 00:00,1.32389,1.3323,1.32108,1.33126,73.7,0.55,
05/08/2025 00:00,1.32903,1.33563,1.32332,1.32396,-50.7,-0.38,
05/07/2025 00:00,1.33524,1.3377,1.328,1.32899,-62.5,-0.47,
05/06/2025 00:00,1.32908,1.34028,1.32597,1.33512,60.4,0.45,
05/05/2025 00:00,1.32689,1.33364,1.32615,1.32908,21.9,0.16,
05/04/2025 00:00,1.32617,1.32767,1.32587,1.32695,7.8,0.06,
05/02/2025 00:00,1.3286,1.3331,1.32603,1.32767,-9.3,-0.07,
05/01/2025 00:00,1.33204,1.33451,1.32602,1.32858,-34.6,-0.26,
04/30/2025 00:00,1.34118,1.34147,1.33086,1.33206,-91.2,-0.68,
04/29/2025 00:00,1.3424,1.34443,1.338,1.34118,-12.2,-0.09,
04/28/2025 00:00,1.33027,1.34442,1.32798,1.34426,139.9,1.04,
04/27/2025 00:00,1.33019,1.33118,1.32884,1.32895,-12.4,-0.09,
04/25/2025 00:00,1.33265,1.33326,1.32737,1.33291,2.6,0.02,
04/24/2025 00:00,1.32649,1.33491,1.32593,1.33274,62.5,0.47,
04/23/2025 00:00,1.32724,1.33391,1.3245,1.32647,-7.7,-0.06,
04/22/2025 00:00,1.33794,1.34234,1.32334,1.32726,-106.8,-0.80,
04/21/2025 00:00,1.33144,1.34219,1.33144,1.33799,65.5,0.49,
04/20/2025 00:00,1.32743,1.33199,1.32679,1.33147,40.4,0.30,
04/18/2025 00:00,1.32677,1.32864,1.32577,1.32856,17.9,0.13,
04/17/2025 00:00,1.32323,1.32729,1.32025,1.32686,36.3,0.27,
04/16/2025 00:00,1.32302,1.32927,1.32115,1.32327,2.5,0.02,
04/15/2025 00:00,1.31722,1.32517,1.31638,1.3231,58.8,0.44,
04/14/2025 00:00,1.30842,1.32009,1.30838,1.31727,88.5,0.67,
04/13/2025 00:00,1.30894,1.30979,1.30634,1.30842,-5.2,-0.04,
04/11/2025 00:00,1.29914,1.31444,1.29845,1.30686,77.2,0.59,
04/10/2025 00:00,1.28252,1.29976,1.28217,1.29907,165.5,1.27,
04/09/2025 00:00,1.27864,1.28641,1.27436,1.28246,38.2,0.30,
04/08/2025 00:00,1.27326,1.28133,1.27238,1.27862,53.6,0.42,
04/07/2025 00:00,1.29082,1.29337,1.2708,1.27327,-175.5,-1.38,
04/06/2025 00:00,1.28313,1.2932,1.28239,1.29083,77.0,0.60,
04/04/2025 00:00,1.30891,1.31136,1.28562,1.28769,-212.2,-1.65,
04/03/2025 00:00,1.30453,1.32065,1.30261,1.3089,43.7,0.33,
04/02/2025 00:00,1.29214,1.30526,1.29006,1.30449,123.5,0.95,
04/01/2025 00:00,1.29196,1.29407,1.28789,1.29214,1.8,0.01,
03/31/2025 00:00,1.29376,1.29731,1.28858,1.29195,-18.1,-0.14,
03/30/2025 00:00,1.29329,1.29406,1.29223,1.29373,4.4,0.03,
03/28/2025 00:00,1.29512,1.29684,1.29223,1.29406,-10.6,-0.08,
03/27/2025 00:00,1.28772,1.29924,1.28761,1.29513,74.1,0.57,
03/26/2025 00:00,1.29448,1.29461,1.28705,1.28772,-67.6,-0.52,
03/25/2025 00:00,1.29231,1.29669,1.29008,1.29449,21.8,0.17,
03/24/2025 00:00,1.28935,1.29745,1.28918,1.29228,29.3,0.23,
03/21/2025 00:00,1.29639,1.29709,1.28878,1.29143,-49.6,-0.38,
03/20/2025 00:00,1.301,1.30151,1.29356,1.29648,-45.2,-0.35,
03/19/2025 00:00,1.30004,1.30116,1.29549,1.30105,10.1,0.08,
03/18/2025 00:00,1.29843,1.30101,1.29515,1.30004,16.1,0.12,
03/17/2025 00:00,1.29269,1.29989,1.29268,1.29839,57.0,0.44,
03/16/2025 00:00,1.29267,1.2936,1.29194,1.29271,0.4,0.00,
03/14/2025 00:00,1.29568,1.29589,1.29108,1.29377,-19.1,-0.15,
03/13/2025 00:00,1.2964,1.29734,1.29202,1.29567,-7.3,-0.06,
03/12/2025 00:00,1.29439,1.29883,1.29132,1.29646,20.7,0.16,
03/11/2025 00:00,1.28749,1.29655,1.28728,1.29442,69.3,0.54,
03/10/2025 00:00,1.29321,1.29469,1.28613,1.2875,-57.1,-0.44,
03/09/2025 00:00,1.29097,1.2938,1.29015,1.29319,22.2,0.17,
03/07/2025 00:00,1.28834,1.29451,1.28758,1.29232,39.8,0.31,
03/06/2025 00:00,1.28932,1.29242,1.28655,1.28834,-9.8,-0.08,
03/05/2025 00:00,1.27954,1.29011,1.27678,1.28895,94.1,0.73,
03/04/2025 00:00,1.27015,1.27997,1.26783,1.27954,93.9,0.73,
03/03/2025 00:00,1.26007,1.27231,1.2582,1.27017,101.0,0.80,
02/28/2025 00:00,1.25941,1.26218,1.25588,1.25783,-15.8,-0.13,
02/27/2025 00:00,1.26733,1.26889,1.25935,1.25965,-76.8,-0.61,
02/26/2025 00:00,1.26719,1.27147,1.26354,1.26804,8.5,0.07,
02/25/2025 00:00,1.26212,1.26777,1.26058,1.2672,50.8,0.40,
02/24/2025 00:00,1.26485,1.26903,1.26118,1.26171,-31.4,-0.25,
02/23/2025 00:00,1.26291,1.26583,1.26286,1.26486,19.5,0.15,
02/21/2025 00:00,1.2666,1.26787,1.26248,1.26305,-35.5,-0.28,
02/20/2025 00:00,1.25828,1.26742,1.25799,1.26695,86.7,0.68,
02/19/2025 00:00,1.26239,1.26355,1.25626,1.25827,-41.2,-0.33,
02/18/2025 00:00,1.26144,1.26395,1.25826,1.26241,9.7,0.08,
02/17/2025 00:00,1.2584,1.26351,1.25791,1.26207,36.7,0.29,
02/16/2025 00:00,1.25836,1.25885,1.25782,1.25842,0.6,0.00,
02/14/2025 00:00,1.25647,1.26299,1.25495,1.25861,21.4,0.17,
02/13/2025 00:00,1.24332,1.25701,1.24332,1.25647,131.5,1.05,
02/12/2025 00:00,1.24518,1.24836,1.23778,1.24506,-1.2,-0.01,
02/11/2025 00:00,1.23624,1.24546,1.23317,1.24515,89.1,0.72,
02/10/2025 00:00,1.23693,1.24227,1.23542,1.23601,-9.2,-0.07,
02/09/2025 00:00,1.23693,1.23953,1.23648,1.23893,20.0,0.16,
