USDJPY Historical Data
Date,Open,High,Low,Close,Change(Pips),Change(%)
06/06/2025 00:00,143.556,145.09,143.529,144.822,126.6,0.87,
06/05/2025 00:00,142.731,143.97,142.574,143.556,82.5,0.57,
06/04/2025 00:00,143.817,144.384,142.53,142.726,-109.1,-0.76,
06/03/2025 00:00,142.426,144.109,142.42,143.823,139.7,0.97,
06/02/2025 00:00,143.795,143.799,142.38,142.429,-136.6,-0.96,
06/01/2025 00:00,143.809,143.986,143.723,143.792,-1.7,-0.01,
05/30/2025 00:00,143.749,144.446,143.437,143.889,14.0,0.10,
05/29/2025 00:00,145.725,146.286,143.742,143.752,-197.3,-1.37,
05/28/2025 00:00,144.137,146.025,143.849,145.714,157.7,1.08,
05/27/2025 00:00,142.628,144.456,142.104,144.139,151.1,1.05,
05/26/2025 00:00,142.821,143.034,142.22,142.63,-19.1,-0.13,
05/25/2025 00:00,142.461,143.077,142.416,142.826,36.5,0.26,
05/23/2025 00:00,143.861,144.019,142.419,142.465,-139.6,-0.98,
05/22/2025 00:00,143.691,144.327,142.795,143.856,16.5,0.11,
05/21/2025 00:00,144.319,144.398,143.282,143.695,-62.4,-0.43,
05/20/2025 00:00,144.979,145.512,144.09,144.32,-65.9,-0.46,
05/19/2025 00:00,145.238,145.348,144.662,144.982,-25.6,-0.18,
05/18/2025 00:00,145.227,145.459,145.003,145.241,1.4,0.01,
05/16/2025 00:00,145.572,146.099,144.921,145.873,30.1,0.21,
05/15/2025 00:00,146.639,146.754,145.414,145.571,-106.8,-0.73,
05/14/2025 00:00,147.524,147.665,145.609,146.639,-88.5,-0.60,
05/13/2025 00:00,148.251,148.271,147.307,147.525,-72.6,-0.49,
05/12/2025 00:00,145.837,148.651,145.716,148.261,242.4,1.63,
05/11/2025 00:00,146.206,146.215,145.697,145.844,-36.2,-0.25,
05/09/2025 00:00,145.948,146.189,144.823,145.282,-66.6,-0.46,
05/08/2025 00:00,143.861,146.176,143.44,145.949,208.8,1.43,
05/07/2025 00:00,143.087,143.997,142.744,143.868,78.1,0.54,
05/06/2025 00:00,143.706,144.277,142.351,143.089,-61.7,-0.43,
05/05/2025 00:00,144.649,144.796,143.536,143.707,-94.2,-0.66,
05/04/2025 00:00,144.668,144.997,144.509,144.652,-1.6,-0.01,
05/02/2025 00:00,145.409,145.912,143.721,144.966,-44.3,-0.31,
05/01/2025 00:00,143.015,145.735,142.882,145.409,239.4,1.65,
04/30/2025 00:00,142.255,143.193,142.167,143.02,76.5,0.53,
04/29/2025 00:00,141.975,142.759,141.965,142.256,28.1,0.20,
04/28/2025 00:00,143.566,143.897,141.981,142.016,-155.0,-1.09,
04/27/2025 00:00,143.567,143.878,143.477,143.848,28.1,0.20,
