XAUUSD Historical Data
Date,Open,High,Low,Close,Change(Pips),Change(%)
04/11/2025 00:00,3188.99,3220,3185.01,3217.69,2870,0.89,
04/10/2025 20:00,3170.85,3191.4,3168.2,3188.84,1799,0.56,
04/10/2025 16:00,3158.09,3176.27,3151.57,3171.01,1292,0.41,
04/10/2025 12:00,3124.64,3174.97,3116.04,3158.19,3355,1.06,
04/10/2025 08:00,3108.67,3125.73,3103.23,3124.49,1582,0.51,
04/10/2025 04:00,3125.34,3132.4,3106.6,3108.68,-1666,-0.54,
04/10/2025 00:00,3086.63,3131.25,3078.59,3125.38,3875,1.24,
04/09/2025 20:00,3093.66,3095.33,3071.36,3086.65,-701,-0.23,
04/09/2025 16:00,3086.25,3099.49,3048.67,3093.82,757,0.24,
04/09/2025 12:00,3066.51,3087.67,3042.53,3086.25,1974,0.64,
04/09/2025 08:00,3041.16,3067.67,3036.2,3066.32,2516,0.82,
04/09/2025 04:00,3004.37,3052.17,2999.84,3041.5,3713,1.22,
04/09/2025 00:00,2978.42,3011.17,2972.13,3004.44,2602,0.87,
04/08/2025 20:00,2984.88,2990.76,2970.19,2978.06,-682,-0.23,
04/08/2025 16:00,3001.52,3001.52,2974.84,2985.02,-1650,-0.55,
04/08/2025 12:00,3017.41,3022.67,3001.16,3001.41,-1600,-0.53,
04/08/2025 08:00,3003.57,3019.42,2994.94,3017.38,1381,0.46,
04/08/2025 04:00,2994.73,3015.65,2990.53,3003.85,912,0.30,
04/08/2025 00:00,2981.22,3004.86,2980.48,2994.71,1349,0.45,
04/07/2025 20:00,2976.7,2988.63,2970.06,2981.2,450,0.15,
04/07/2025 16:00,2987.63,2987.91,2956.67,2976.22,-1141,-0.38,
04/07/2025 12:00,3031.12,3037.83,2980.11,2987.57,-4355,-1.46,
04/07/2025 08:00,3018.58,3046,3018.01,3031.17,1259,0.42,
04/07/2025 04:00,3018.93,3044.48,3013.27,3018.81,-12,0.00,
04/07/2025 00:00,2999.76,3055.37,2971.85,3019,1924,0.64,
04/06/2025 20:00,3028.8,3032.13,2977.04,2999.76,-2904,-0.97,
04/04/2025 16:00,3021.92,3036.82,3015.68,3026.34,442,0.15,
04/04/2025 12:00,3110.41,3111.85,3017.04,3021.84,-8857,-2.93,
04/04/2025 08:00,3092.76,3136.14,3078.43,3110.22,1746,0.56,
04/04/2025 04:00,3098.44,3109.79,3092,3092.79,-565,-0.18,
04/04/2025 00:00,3112.88,3115.76,3087.16,3098.36,-1452,-0.47,
04/03/2025 20:00,3107.54,3119.22,3107.36,3112.86,532,0.17,
04/03/2025 16:00,3110.62,3114.22,3099.89,3107.55,-307,-0.10,
04/03/2025 12:00,3093.01,3135.53,3054.18,3110.55,1754,0.56,
04/03/2025 08:00,3129.14,3132.1,3085.2,3093.07,-3607,-1.17,
04/03/2025 04:00,3147.94,3149.63,3116.72,3129.04,-1890,-0.60,
04/03/2025 00:00,3162.29,3164.6,3140.79,3147.94,-1435,-0.46,
04/02/2025 20:00,3123.98,3167.68,3105.2,3162.23,3825,1.21,
04/02/2025 16:00,3125.82,3134.35,3118.83,3123.9,-192,-0.06,
04/02/2025 12:00,3121.34,3132.12,3116.7,3125.78,444,0.14,
04/02/2025 08:00,3125.1,3133.76,3110.13,3121.31,-379,-0.12,
04/02/2025 04:00,3125.7,3126.81,3109.62,3124.98,-72,-0.02,
04/02/2025 00:00,3115.15,3135.55,3112.88,3125.61,1046,0.33,
04/01/2025 20:00,3118.65,3120.73,3107.68,3115.16,-349,-0.11,
04/01/2025 16:00,3113.68,3118.93,3100.69,3118.61,493,0.16,
04/01/2025 12:00,3130.45,3137.02,3113.54,3113.83,-1662,-0.53,
04/01/2025 08:00,3127.58,3138.92,3126.33,3130.32,274,0.09,
04/01/2025 04:00,3145.83,3148.94,3124.01,3127.56,-1827,-0.58,
04/01/2025 00:00,3120.51,3147.39,3120.31,3145.82,2531,0.80,
03/31/2025 20:00,3124.32,3126.48,3119.89,3120.49,-383,-0.12,
03/31/2025 16:00,3113.8,3124.65,3111.63,3124.37,1057,0.34,
03/31/2025 12:00,3119.56,3127.04,3099.64,3113.7,-586,-0.19,
