XAUUSD Historical Data
Date,Open,High,Low,Close,Change(Pips),Change(%)
06/06/2025 00:00,3361.88,3375.47,3313.69,3318.06,-4382,-1.32,
06/05/2025 00:00,3378.06,3403.37,3339.35,3362.09,-1597,-0.48,
06/04/2025 00:00,3360.03,3384.6,3343.5,3378.03,1800,0.53,
06/03/2025 00:00,3387.47,3388.67,3333.26,3359.98,-2749,-0.82,
06/02/2025 00:00,3310.23,3392.19,3301.4,3387.34,7711,2.28,
06/01/2025 00:00,3298.03,3316.5,3298.03,3310.29,1226,0.37,
05/30/2025 00:00,3315.55,3322.82,3271.62,3295.03,-2052,-0.62,
05/29/2025 00:00,3259.64,3330.71,3245.44,3315.51,5587,1.69,
05/28/2025 00:00,3309.33,3325.48,3250.12,3259.28,-5005,-1.54,
05/27/2025 00:00,3346.28,3349.84,3285.38,3309.24,-3704,-1.12,
05/26/2025 00:00,3342.64,3356.73,3324.11,3346.23,359,0.11,
05/25/2025 00:00,3352.87,3356.05,3341.34,3342.64,-1023,-0.31,
05/23/2025 00:00,3300.22,3365.85,3286.83,3365.3,6508,1.93,
05/22/2025 00:00,3320.25,3345.32,3279.14,3300.13,-2012,-0.61,
05/21/2025 00:00,3290.72,3324.86,3285.45,3320.12,2940,0.89,
05/20/2025 00:00,3222.78,3304.04,3204.57,3290.8,6802,2.07,
05/19/2025 00:00,3234.85,3249.78,3206.65,3222.51,-1234,-0.38,
05/18/2025 00:00,3211.78,3245.17,3206.49,3234.83,2305,0.71,
05/16/2025 00:00,3237.22,3244.53,3154.39,3189.45,-4777,-1.50,
05/15/2025 00:00,3186.03,3252.27,3120.53,3237.2,5117,1.58,
05/14/2025 00:00,3254.32,3254.47,3167.87,3186.09,-6823,-2.14,
05/13/2025 00:00,3236.9,3265.47,3215.78,3254.23,1733,0.53,
05/12/2025 00:00,3287.57,3289.86,3207.77,3236.84,-5073,-1.57,
05/11/2025 00:00,3287.71,3291.31,3265.87,3287.85,14,0.00,
05/09/2025 00:00,3316.48,3347.43,3274.84,3339.36,2288,0.69,
05/08/2025 00:00,3376.6,3414.54,3288.84,3316.45,-6015,-1.81,
05/07/2025 00:00,3400.59,3401.41,3360.19,3376.43,-2416,-0.72,
05/06/2025 00:00,3334.16,3434.71,3323.31,3400.56,6640,1.95,
05/05/2025 00:00,3248.23,3338.02,3241.01,3334.13,8590,2.58,
05/04/2025 00:00,3241.79,3252.27,3237.67,3247.93,614,0.19,
05/02/2025 00:00,3237.35,3269.17,3222.67,3230.85,-650,-0.20,
05/01/2025 00:00,3273.06,3276.33,3201.87,3237.27,-3579,-1.11,
04/30/2025 00:00,3317.17,3327.92,3266.84,3273.04,-4413,-1.35,
04/29/2025 00:00,3345.19,3348.61,3299.53,3317.04,-2815,-0.85,
04/28/2025 00:00,3329.58,3353.06,3267.98,3344.13,1455,0.44,
04/27/2025 00:00,3329.58,3331.25,3298.68,3302.69,-2689,-0.81,
04/25/2025 00:00,3348.79,3363.07,3265.13,3288.63,-6016,-1.83,
04/24/2025 00:00,3316.4,3370.97,3306.34,3348.93,3253,0.97,
04/23/2025 00:00,3336.71,3386.48,3260.31,3316.37,-2034,-0.61,
04/22/2025 00:00,3434.52,3499.89,3315.53,3336.75,-9777,-2.93,
04/21/2025 00:00,3348.01,3444.32,3347.42,3434.55,8654,2.52,
04/20/2025 00:00,3331.29,3352.82,3329.09,3348.05,1676,0.50,
04/17/2025 00:00,3350.11,3356.13,3283.93,3327.31,-2280,-0.69,
04/16/2025 00:00,3251.91,3357.77,3251.65,3350.05,9814,2.93,
04/15/2025 00:00,3212.55,3251.64,3209.8,3251.64,3909,1.20,
04/14/2025 00:00,3223.69,3245.67,3193.65,3212.92,-1077,-0.34,
04/13/2025 00:00,3219.1,3224.45,3209.89,3223.72,462,0.14,
04/11/2025 00:00,3188.99,3245.01,3185.01,3234.66,4567,1.41,
04/10/2025 00:00,3086.63,3191.4,3078.59,3188.84,10221,3.21,
04/09/2025 00:00,2978.42,3099.49,2972.13,3086.65,10823,3.51,
04/08/2025 00:00,2981.22,3022.67,2970.19,2978.06,-316,-0.11,
04/07/2025 00:00,2999.76,3055.37,2956.67,2981.2,-1856,-0.62,
04/06/2025 00:00,3028.8,3032.13,2977.04,2999.76,-2904,-0.97,
04/04/2025 00:00,3112.88,3136.14,3015.68,3026.34,-8654,-2.86,
04/03/2025 00:00,3162.29,3164.6,3054.18,3112.86,-4943,-1.59,
04/02/2025 00:00,3115.15,3167.68,3105.2,3162.23,4708,1.49,
04/01/2025 00:00,3120.51,3148.94,3100.69,3115.16,-535,-0.17,
03/31/2025 00:00,3089.22,3127.54,3076.7,3120.49,3127,1.00,
03/30/2025 00:00,3087.9,3097.51,3087.87,3089.17,127,0.04,
03/28/2025 00:00,3055.52,3086.73,3054.95,3080.53,2501,0.81,
03/27/2025 00:00,3021.58,3059.56,3021.58,3055.76,3418,1.12,
03/26/2025 00:00,3020.87,3031.99,3012.01,3021.59,72,0.02,
03/25/2025 00:00,3010.43,3035.9,3007.4,3020.93,1050,0.35,
03/24/2025 00:00,3023.82,3033.33,3002.48,3010.01,-1381,-0.46,
03/21/2025 00:00,3044.78,3047.52,2999.0800000000004,3023.03,-2175,-0.72,
03/20/2025 00:00,3050.15,3057.31,3025.77,3046.35,-380,-0.12,
03/19/2025 00:00,3031.59,3051.72,3022.49,3049.99,1840,0.60,
03/18/2025 00:00,2999.63,3038.1,2999.43,3031.74,3211,1.06,
03/17/2025 00:00,2989.97,3002.78,2982.27,2999.66,969,0.32,
03/16/2025 00:00,2984.59,2994.14,2983.87,2990.06,547,0.18,
03/14/2025 00:00,2986.44,3004.82,2978.34,2988.32,188,0.06,
03/13/2025 00:00,2938.04,2989.89,2932.72,2986.44,4840,1.62,
03/12/2025 00:00,2915.49,2940.44,2906.18,2938.05,2256,0.77,
03/11/2025 00:00,2884.78,2921.9,2880.18,2915.47,3069,1.05,
03/10/2025 00:00,2916.3,2918.11,2880.16,2884.76,-3154,-1.09,
03/09/2025 00:00,2911.56,2916.99,2909.82,2916.34,478,0.16,
03/07/2025 00:00,2910.47,2930.27,2897.05,2909.03,-144,-0.05,
03/06/2025 00:00,2918.78,2926.6,2891.09,2910.47,-831,-0.29,
03/05/2025 00:00,2914.55,2929.92,2894.3,2918.19,364,0.12,
03/04/2025 00:00,2890.87,2927.8,2881.89,2914.47,2360,0.81,
03/03/2025 00:00,2865.66,2895.18,2858.68,2890.94,2528,0.87,
02/28/2025 00:00,2877.32,2885.03,2832.4500000000003,2858.81,-1851,-0.65,
02/27/2025 00:00,2916.74,2920.76,2867.74,2875.84,-4090,-1.42,
02/26/2025 00:00,2918.66,2930.01,2890.81,2919.24,58,0.02,
02/25/2025 00:00,2952.94,2953.67,2887.85,2918.6,-3434,-1.18,
02/24/2025 00:00,2936.71,2956.19,2921.15,2950.08,1337,0.45,
02/23/2025 00:00,2934.27,2940.57,2934.1,2936.72,245,0.08,
02/21/2025 00:00,2938.17,2949.69,2916.63,2935.98,-219,-0.07,
02/20/2025 00:00,2935.56,2954.9,2924.21,2941.53,597,0.20,
02/19/2025 00:00,2933.99,2946.94,2918.57,2935.57,158,0.05,
02/18/2025 00:00,2898.6,2936.97,2891.78,2934.01,3541,1.21,
02/17/2025 00:00,2879.6,2906.43,2879.45,2899.1,1950,0.67,
02/16/2025 00:00,2885.9,2893.73,2878.49,2879.11,-679,-0.24,
02/14/2025 00:00,2931.03,2939.93,2876.75,2885.36,-4567,-1.58,
02/13/2025 00:00,2904.35,2932.3,2900.52,2931.17,2682,0.91,
02/12/2025 00:00,2898.72,2909.04,2864.31,2905.82,710,0.24,
02/11/2025 00:00,2907.56,2942.65,2881.34,2898.68,-888,-0.31,
02/10/2025 00:00,2855.81,2921.52,2855.7,2917.78,6197,2.12,
02/09/2025 00:00,2855.81,2870.21,2855.79,2867.49,1168,0.41,
02/07/2025 00:00,2855.86,2886.83,2852.17,2861.82,596,0.21,
02/06/2025 00:00,2867.46,2873.22,2834.01,2858.13,-933,-0.33,
02/05/2025 00:00,2840.9,2882.3,2839.61,2867.08,2618,0.91,
02/04/2025 00:00,2813.06,2845.38,2807.17,2841.4,2834,1.00,
02/03/2025 00:00,2793.17,2830.62,2772.14,2813.98,2081,0.74,
02/02/2025 00:00,2802.07,2803.51,2784.05,2793.18,-889,-0.32,
01/31/2025 00:00,2794.98,2817.21,2790.84,2800.57,559,0.20,
01/30/2025 00:00,2760.21,2798.26,2758.82,2796.11,3590,1.28,
01/29/2025 00:00,2762.59,2766.21,2744.96,2760.21,-238,-0.09,
01/28/2025 00:00,2741.85,2764.98,2734.7,2762.65,2080,0.75,
01/27/2025 00:00,2767.59,2772.6200000000003,2730.35,2741.81,-2578,-0.94,
01/26/2025 00:00,2767.59,2769.44,2764.79,2767.55,-4,0.00,
01/24/2025 00:00,2754.39,2785.98,2754.26,2772.0,1761,0.64,
01/23/2025 00:00,2755.7,2758.85,2735.91,2754.53,-117,-0.04,
01/22/2025 00:00,2744.8,2763.42,2741.89,2755.32,1052,0.38,
01/21/2025 00:00,2710.33,2745.9,2702.88,2744.32,3399,1.24,
01/20/2025 00:00,2702.37,2713.62,2689.2799999999997,2710.39,802,0.30,
01/19/2025 00:00,2700.56,2702.57,2690.93,2696.41,-415,-0.15,
